id,Position,Track Name,Artist,Popularity
1,1,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,94
2,2,My Love Mine All Mine,Mitski,97
3,3,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,93
4,4,Lovin On Me,Jack Harlow,79
5,5,Stick Season,Noah Kahan,90
6,6,Cruel Summer,Taylor Swift,99
7,7,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,92
8,8,Agora Hills,Doja Cat,82
9,9,IDGAF (feat. Yeat),Drake,94
10,10,Paint The Town Red,Doja Cat,89
11,11,greedy,Tate McRae,100
12,12,fukumean,Gunna,94
13,13,MONACO,Bad Bunny,98
14,14,Last Night,Morgan Wallen,86
15,15,500lbs,Lil Tecca,83
16,16,Something in the Orange,Zach Bryan,90
17,17,Houdini,Dua Lipa,83
18,18,Northern Attitude (with Hozier),Noah Kahan,73
19,19,HARLEY QUINN,Fuerza Regida,92
20,20,All I Want for Christmas Is You,Mariah Carey,88
21,21,Snooze,SZA,92
22,22,Rockin' Around The Christmas Tree,Brenda Lee,80
23,23,Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,90
24,24,I KNOW ?,Travis Scott,92
25,25,First Person Shooter (feat. J. Cole),Drake,92
26,26,Water,Tyla,96
27,27,vampire,Olivia Rodrigo,95
28,28,Kill Bill,SZA,91
29,29,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,88
30,30,White Christmas - 1947 Version,Bing Crosby,76
31,31,Standing Next to You,Jung Kook,95
32,32,Jingle Bell Rock,Bobby Helms,81
33,33,See You Again (feat. Kali Uchis),"Tyler, The Creator",92
34,34,No Role Modelz,J. Cole,91
35,35,Pink + White,Frank Ocean,91
36,36,Karma,Taylor Swift,89
37,37,Strangers,Kenya Grace,98
38,38,Fast Car,Luke Combs,89
39,39,PERRO NEGRO,Bad Bunny,97
40,40,Last Christmas - Single Version,Wham!,73
41,41,Sweater Weather,The Neighbourhood,92
42,42,Que Onda,Calle 24,94
43,43,LADY GAGA,Peso Pluma,94
44,44,Style (Taylor's Version),Taylor Swift,90
45,45,Wasted On You,Morgan Wallen,86
46,46,You Proof,Morgan Wallen,85
47,47,Thinkinâ€™ Bout Me,Morgan Wallen,86
48,48,Anti-Hero,Taylor Swift,93
49,49,Wildest Dreams (Taylor's Version),Taylor Swift,86
