rank,Youtuber,subscribers,video views,video count,category,started
1,T-Series,222000000,198459090822,17317,Music,2006
2,YouTube Movies,154000000,0,0,Film & Animation,2015
3,Cocomelon - Nursery Rhymes,140000000,135481339848,786,Education,2006
4,SET India,139000000,125764252686,91271,Shows,2006
5,Music,116000000,0,0,,2013
6,PewDiePie,111000000,28469458228,4497,Gaming,2010
7,MrBeast,102000000,16832456681,726,Entertainment,2012
8,✿ Kids Diana Show,99700000,79602288245,1009,People & Blogs,2015
9,Like Nastya,99200000,81963845811,702,People & Blogs,2016
10,Gaming,92700000,0,0,,2013
11,WWE,90200000,70544743313,63077,Sports,2007
12,Zee Music Company,86700000,49067711243,6603,Music,2014
13,Vlad and Niki,85100000,66498762660,472,Entertainment,2018
14,5-Minute Crafts,77100000,23881457195,5581,Howto & Style,2016
15,BLACKPINK,76200000,24707415704,397,People & Blogs,2016
16,Sports,75100000,0,0,,2013
17,Goldmines,74100000,18533088438,3968,Film & Animation,2012
18,Sony SAB,70600000,82473581441,56295,Shows,2007
19,BANGTANTV,70000000,17471090750,1787,Music,2012
20,Justin Bieber,69700000,28567240999,247,Music,2007
21,HYBE LABELS,67800000,24013849120,971,Music,2008
22,Canal KondZilla,65900000,36576704790,2313,Music,2012
23,Zee TV,63000000,17111576122,60802,Entertainment,2005
24,Shemaroo Filmi Gaane,61300000,28579945247,7884,Music,2010
25,Pinkfong Baby Shark - Kids' Songs & Stories,59400000,32107290522,2374,Education,2011
26,Dude Perfect,58100000,14742860905,297,Sports,2009
27,ChuChu TV Nursery Rhymes & Kids Songs,57700000,39266652127,506,Education,2013
28,Movieclips,57600000,58839819120,39202,Film & Animation,2006
29,Marshmello,55700000,13445424556,401,Entertainment,2015
30,Colors TV,55100000,52611504230,87427,Shows,2008
31,Wave Music,53400000,37230876862,18622,Music,2014
32,EminemMusic,53000000,23717869724,140,Music,2007
33,Aaj Tak,52900000,20204939173,196497,News & Politics,2009
34,Tips Official,52800000,27883080973,3612,Music,2007
35,T-Series Bhakti Sagar,52500000,24278576197,23870,Music,2011
36,Sony Music India,52400000,24856641898,3180,Music,2009
37,Ed Sheeran,52200000,27881781761,253,Music,2006
38,El Reino Infantil,51700000,49895247456,1309,Music,2011
39,Ariana Grande,51600000,22158094076,146,Music,2007
40,LooLoo Kids - Nursery Rhymes and Children's Songs,49800000,29013984394,553,Music,2014
41,YRF,47600000,29366788406,3289,Film & Animation,2006
42,Taylor Swift,47100000,25563795998,189,Music,2006
43,Billie Eilish,46200000,11999349578,48,Music,2013
44,JuegaGerman,46100000,13698034536,1959,Gaming,2013
45,BillionSurpriseToys - English Kids Songs & Cartoon,45700000,8590657189,648,Education,2013
46,Infobells - Hindi,45600000,25635591765,476,Education,2014
47,Badabun,45600000,18567925780,13814,Entertainment,2014
48,Fernanfloo,45100000,9966728650,541,Gaming,2011
49,Felipe Neto,44300000,15475571879,3512,Entertainment,2006
50,BRIGHT SIDE,43900000,10058536263,4540,Howto & Style,2017
51,whinderssonnunes,43900000,4120078906,521,Comedy,2013
52,Você Sabia?,43300000,7284075395,1315,Entertainment,2013
53,HolaSoyGerman.,43300000,4735959546,136,Entertainment,2011
54,Katy Perry,43200000,23966278157,118,Music,2008
55,SonyMusicIndiaVEVO,42700000,23991411417,3309,Music,2009
56,Bad Bunny,42500000,23748805401,123,Music,2014
57,Alan Walker,42200000,11731228995,318,Music,2012
58,Like Nastya Show,41500000,18745015002,599,Entertainment,2017
59,Get Movies,41300000,28559341412,3963,Entertainment,2006
60,A4,41200000,16717234472,645,Gaming,2014
61,Speed Records,40800000,24558172214,10327,Music,2012
62,ABS-CBN Entertainment,40600000,47544242811,179522,People & Blogs,2008
63,elrubiusOMG,40400000,7483116325,705,Gaming,2011
64,Shemaroo,39700000,20489429972,9707,Entertainment,2007
65,Rihanna,39600000,20092128845,79,Entertainment,2005
66,Little Baby Bum - Nursery Rhymes & Kids Songs,39500000,37136069429,1989,Education,2011
67,Luisito Comunica,39200000,7691260396,1119,Comedy,2012
68,Voot Kids,38800000,17685426640,3282,Entertainment,2016
69,Маша и Медведь,38700000,32833907997,1198,Film & Animation,2011
70,TheEllenShow,38300000,22335550787,14404,Entertainment,2006
71,LUCCAS NETO - LUCCAS TOON,37800000,20454693770,1875,People & Blogs,2014
72,Ishtar Music,37800000,14999240876,4535,Trailers,2005
73,GR6 EXPLODE,37600000,23912270526,4180,Music,2014
74,XXXTENTACION,37600000,9725253939,126,Music,2015
75,One Direction,37400000,12698961117,157,Music,2010
76,Shakira,37200000,23715669906,287,People & Blogs,2005
77,Kimberly Loaiza,37200000,4254148920,206,People & Blogs,2016
78,WorkpointOfficial,37000000,33773658170,62039,Entertainment,2012
79,Daddy Yankee,36800000,20479831396,423,Music,2011
80,Toys and Colors,36500000,40932580174,821,Entertainment,2016
81,CarryMinati,36300000,2948237121,178,Comedy,2014
82,News,36200000,0,0,,2013
83,Maroon 5,36000000,20838666788,163,Music,2006
84,shfa,35900000,19083355034,847,People & Blogs,2015
85,TEDx Talks,35900000,6660397688,185006,Nonprofits & Activism,2009
86,shfa2 - شفا,35800000,20816532667,1351,People & Blogs,2017
87,Jkk Entertainment,35700000,15133442317,194,Comedy,2017
88,Super Simple Songs - Kids Songs,35300000,37440873935,600,Education,2006
89,Bruno Mars,35300000,17395825825,97,Music,2006
90,Ozuna,35200000,21048440606,137,Music,2016
91,Masha and The Bear,35100000,19426654260,935,Shows,2014
92,one31,34400000,26969165355,128901,Entertainment,2013
93,Goldmines Gaane Sune Ansune,34300000,14212434275,3171,Music,2015
94,Like Nastya ESP,33600000,15934957738,630,Entertainment,2017
95,J Balvin,33600000,21489532517,134,Music,2011
96,Mikecrack,33500000,13775632479,1727,Gaming,2015
97,VEGETTA777,33400000,14948682643,7130,Gaming,2008
98,Ultra Bollywood,33400000,15508274562,9078,Trailers,2009
99,Markiplier,33300000,18701808550,5200,Gaming,2012
100,YouTube,33300000,2725286912,540,News & Politics,1970
101,ABP NEWS,33200000,10421462788,224455,People & Blogs,2012
102,Total Gaming,33200000,5935440954,1894,Gaming,2018
103,Maria Clara & JP,33100000,20224535670,627,People & Blogs,2015
104,Desi Music Factory,33000000,9481987642,125,Music,2014
105,Ryan's World,32900000,51721734476,2198,Entertainment,2015
106,Geet MP3,32800000,11575367431,563,Music,2016
107,Sony PAL,32700000,23519452138,19383,Shows,2014
108,NoCopyrightSounds,32700000,10436881173,1116,Music,2011
109,SSSniperWolf,32500000,20583922757,3095,Gaming,2013
110,T-Series Apna Punjab,32300000,18933492606,6524,Music,2011
111,ARY Digital HD,32200000,25304311207,71075,Entertainment,2016
112,KHANDESHI MOVIES,32100000,10676727914,191,Comedy,2013
113,IndiaTV,31900000,13417041251,237971,News & Politics,2006
114,HAR PAL GEO,31900000,26003463646,61818,Entertainment,2008
115,JustinBieberVEVO,31800000,25304909929,205,Music,2009
116,Ch3Thailand,31600000,20335720484,76039,Entertainment,2014
117,La Granja de Zenón,31500000,22808879757,558,Music,2013
118,GENIAL,31400000,6362416164,5453,Howto & Style,2017
119,Eros Now Music,31000000,16582648732,9807,Entertainment,2007
120,Luis Fonsi,30900000,14480846921,121,Entertainment,2014
121,Selena Gomez,30900000,11583101067,182,Film & Animation,2008
122,Galinha Pintadinha,30800000,22858782418,62,Film & Animation,2006
123,SMTOWN,30800000,25203004950,3951,Music,2006
124,Mr Bean,30700000,9936630200,2661,Shows,2006
125,Bollywood Classics,30600000,19244430138,2008,Music,2012
126,CVS 3D Rhymes & Kids Songs,30500000,18636699832,338,Education,2008
127,Ricis Official,30500000,5134450983,2003,People & Blogs,2016
128,Trap Nation,30400000,13348694779,2472,Music,2012
129,Rajshri,30300000,13287506122,3739,Music,2006
130,DisneyMusicVEVO,30100000,24693346235,1771,Music,2010
131,Dream,30000000,2673017855,110,Gaming,2014
132,The Tonight Show Starring Jimmy Fallon,29900000,16006240303,7897,Comedy,2006
133,AH,29900000,4082464979,1809,Entertainment,2014
134,Saregama Music,29700000,12147894890,5718,Entertainment,2013
135,Spinnin' Records,29600000,20075386002,10826,Music,2007
136,rezendeevil,29600000,12599347383,11571,Gaming,2012
137,Shawn Mendes,29500000,11742431673,132,Music,2011
138,Popular on YouTube,29400000,0,0,,2013
139,Boram Tube Vlog [보람튜브 브이로그],29400000,13109187449,223,Entertainment,2012
140,BabyBus - Kids Songs and Cartoons,29200000,23790606514,1825,Education,2016
141,AuronPlay,29200000,3935938048,404,Comedy,2006
142,The Weeknd,29100000,19280816380,123,Music,2011
143,Maluma,28700000,19638529002,20,Music,2018
144,Adele,28700000,12650300730,14,Music,2008
145,jacksepticeye,28600000,15485608801,4988,Gaming,2007
146,ImagineDragons,28600000,14307239074,67,Music,2009
147,Worldwide Records Bhojpuri,28600000,14501468946,5927,Music,2012
148,Ultra Music,28600000,16201384834,4665,Music,2006
149,Jingle Toons,28600000,9728073444,228,Film & Animation,2013
150,ashish chanchlani vines,28600000,4054589048,147,Comedy,2009
151,PowerKids TV,28400000,14322875759,2509,Film & Animation,2014
152,MrBeast Gaming,28400000,4943059589,132,Gaming,2020
153,Peppa Pig - Official Channel,28200000,21008328965,2020,Film & Animation,2013
154,قناة طيور الجنة | toyoraljanahtv,28100000,25743323512,3131,Entertainment,2008
155,DONA 도나,28100000,18421172559,160,Entertainment,2018
156,Techno Gamerz,28100000,7193172591,839,Gaming,2017
157,Wow Kidz,28000000,14967441549,3718,Film & Animation,2015
158,Talking Tom,28000000,13908482957,447,Comedy,2010
159,The Late Late Show with James Corden,27900000,9996299350,5422,Entertainment,2006
160,Little Angel: Nursery Rhymes & Kids Songs,27700000,20217178677,1146,Education,2015
161,GMANetwork,27600000,26290731375,114067,Entertainment,2006
162,KAROL G,27400000,14040459862,121,Music,2013
163,TheDonato,27200000,5094142687,2491,Entertainment,2015
164,Vlad và Nikita,27100000,17117316552,405,,2018
165,Round2hell,27100000,2862422681,67,Comedy,2016
166,infobells - Tamil,26900000,16492704526,460,Education,2014
167,Drake,26800000,12947966180,53,Music,2009
168,MR. INDIAN HACKER,26800000,4592841527,812,Science & Technology,2012
169,Zee News,26700000,12175851183,144314,News & Politics,2007
170,ToypuddingTV,26600000,15570902183,2579,Entertainment,2014
171,Genevieve's Playhouse - Learning Videos for Kids,26500000,18579474197,578,Education,2016
172,Bounce Patrol - Kids Songs,26400000,18891028184,205,Music,2013
173,Wiz Khalifa,26400000,12528940373,598,Music,2008
174,infobells - Telugu,26300000,13426911345,421,Education,2014
175,enchufetv,26300000,10022194205,994,Comedy,2011
176,AboFlah,26300000,3589276436,553,Gaming,2016
177,DanTDM,26200000,18809615646,3603,Gaming,2012
178,Aditya Music,26100000,22661822099,19992,Music,2008
179,Lucas and Marcus,26100000,7942766503,968,Entertainment,2011
180,WORLDSTARHIPHOP,25900000,19426357466,6259,Music,2008
181,व्लाद और निकिता,25900000,15750623413,427,,2018
182,Michael Jackson,25800000,12588288710,7,Music,2005
183,TaylorSwiftVEVO,25800000,23276597783,239,Music,2009
184,toycantando,25800000,13948216340,496,Music,2009
185,VanossGaming,25700000,14907579962,1581,Gaming,2011
186,LosPolinesios,25600000,7086413849,725,People & Blogs,2012
187,1MILLION Dance Studio,25500000,7409442051,4251,Entertainment,2015
188,BB Ki Vines,25500000,4371751617,185,Entertainment,2015
189,Renato Garcia,25400000,6901320769,3648,Entertainment,2011
190,JYP Entertainment,25200000,17152981455,1502,Music,2008
191,RihannaVEVO,25200000,18089677017,106,Music,2009
192,Nick Jr.,25100000,20691684541,4712,Film & Animation,2012
193,Smosh,25000000,10184035967,1366,Comedy,2005
194,EminemVEVO,24900000,18786748261,98,Music,2009
195,Marília Mendonça,24900000,16477333283,114,Music,2013
196,Beyoncé,24900000,15717379166,234,Music,2005
197,Yuya,24900000,2583410213,672,Howto & Style,2009
198,KatyPerryVEVO,24800000,22679485513,171,Music,2009
199,Jess No Limit,24700000,3060187306,1914,Entertainment,2017
200,WatchMojo.com,24600000,15650528115,22492,Music,2007
201,Las Ratitas,24600000,9217427023,217,People & Blogs,2015
202,Nicki Minaj,24500000,9386490086,31,Music,2013
203,Super JoJo - Nursery Rhymes & Kids Songs,24400000,831718833,61,,2019
204,Goldmines Dishoom,24400000,7143695444,2844,Film & Animation,2016
205,David Guetta,24300000,15959928823,633,Music,2009
206,Masha y el Oso,24300000,11006209206,840,Film & Animation,2016
207,Aditya Movies,24300000,7908171009,4274,Movies,2012
208,Netflix,24300000,5678834326,5650,Entertainment,2012
209,ZHC,24300000,2224916696,298,Film & Animation,2013
210,Post Malone,24200000,12492313399,51,Music,2011
211,1theK (원더케이),24200000,22605283252,16928,Music,2011
212,Amit Bhadana,24100000,2242631303,93,Entertainment,2012
213,Rans Entertainment,24000000,5688277632,3060,People & Blogs,2015
214,Chloe Ting,24000000,2735828023,367,Howto & Style,2011
215,Sandeep Maheshwari,24000000,1821164544,513,People & Blogs,2012
216,Raffy Tulfo in Action,23900000,12797189774,8755,News & Politics,2016
217,KSI,23900000,5898102699,1242,Entertainment,2009
218,Collins Key,23900000,6368398946,251,Entertainment,2011
219,James Charles,23900000,3687600020,406,Entertainment,2015
220,Ninja,23900000,2447087199,1418,Gaming,2011
221,Coldplay,23500000,15078170011,347,Music,2010
222,Logan Paul,23500000,5889189870,712,Entertainment,2015
223,DJ Snake,23400000,7645734689,209,Music,2008
224,Chris Brown,23400000,13630944140,21,Music,2006
225,Happy Lives,23400000,10089784164,596,Science & Technology,2016
226,TRANS7 OFFICIAL,23300000,12454676964,78951,Entertainment,2014
227,Troom Troom,23200000,9797581328,1992,Howto & Style,2015
228,ABPLIVE,23200000,6805551423,146479,People & Blogs,2017
229,Mister Max,23100000,14762469807,1046,People & Blogs,2014
230,NickyJamTV,23100000,15050718616,328,Music,2012
231,Shemaroo Movies,23000000,5590554837,2155,Entertainment,2011
232,Sesame Street,22900000,21078177585,3425,Entertainment,2006
233,Enrique Iglesias,22900000,16539033540,405,Music,2007
234,netd müzik,22800000,50658927334,20482,Music,2014
235,Jelly,22800000,14239994409,5667,Gaming,2014
236,Erlania e Valentina Pontes,22700000,7556615404,1117,Film & Animation,2014
237,DrossRotzank,22500000,5743037460,1508,Entertainment,2006
238,Anuel AA,22400000,11627613226,92,Music,2016
239,Goldmines Bollywood,22400000,7122122133,2409,Film & Animation,2015
240,Miss Katy,22300000,13424354473,990,People & Blogs,2014
241,The Chainsmokers,22300000,13337815978,237,Music,2012
242,Crazy XYZ,22300000,5869132761,1085,Entertainment,2017
243,Frost Diamond,22300000,5357578673,2191,Gaming,2014
244,Mark Rober,22300000,2935811566,107,Science & Technology,2011
245,The Lallantop,22200000,8155335430,39370,News & Politics,2015
246,Technical Guruji,22200000,3065204553,4609,Science & Technology,2015
247,GMM GRAMMY OFFICIAL,22100000,24128528075,13755,Music,2010
248,HUM TV,22100000,16656148835,59428,Entertainment,2011
249,Like Nastya AE,22100000,11179266145,576,Entertainment,2018
250,WB Kids,22100000,9340794746,1722,People & Blogs,2015
251,Venus Movies,22100000,6293790011,2456,Entertainment,2010
